decade,tried,deaths,country
1520,1,1,Estonia
1530,1,1,Estonia
1540,5,5,Estonia
1580,7,5,Estonia
1590,11,0,Estonia
1600,6,1,Estonia
1610,22,18,Estonia
1620,14,8,Estonia
1630,25,4,Estonia
1640,39,10,Estonia
1650,10,1,Estonia
1660,10,4,Estonia
1670,8,1,Estonia
1680,8,3,Estonia
1690,28,3,Estonia
1700,5,0,Estonia
1720,5,0,Estonia
1520,1,0,Finland
1540,8,0,Finland
1550,12,1,Finland
1560,16,4,Finland
1570,22,3,Finland
1580,15,2,Finland
1590,8,1,Finland
1600,7,2,Finland
1610,6,0,Finland
1620,22,3,Finland
1630,27,2,Finland
1640,66,11,Finland
1650,73,10,Finland
1660,87,25,Finland
1670,157,41,Finland
1680,121,9,Finland
1690,62,1,Finland
1520,3,1,Hungary
1530,3,1,Hungary
1540,3,1,Hungary
1550,3,1,Hungary
1560,5,4,Hungary
1570,5,1,Hungary
1580,17,11,Hungary
1590,8,4,Hungary
1600,12,6,Hungary
1610,15,10,Hungary
1620,43,14,Hungary
1630,38,9,Hungary
1640,51,6,Hungary
1650,57,19,Hungary
1660,63,15,Hungary
1670,57,26,Hungary
1680,45,22,Hungary
1690,103,39,Hungary
1700,106,46,Hungary
1710,217,62,Hungary
1720,227,64,Hungary
1730,180,36,Hungary
1740,185,51,Hungary
1750,143,21,Hungary
1760,47,1,Hungary
1770,8,3,Hungary
1560,4,0,Norway
1570,25,3,Norway
1580,17,5,Norway
1590,16,7,Norway
1600,21,11,Norway
1610,73,33,Norway
1620,134,69,Norway
1630,80,31,Norway
1640,97,41,Norway
1650,80,26,Norway
1660,157,47,Norway
1670,56,5,Norway
1680,64,1,Norway
1690,26,1,Norway
1700,2,0,Norway
1710,2,0,Norway
1720,1,0,Norway
1730,6,0,Norway
1740,1,0,Norway
1750,1,0,Norway
1470,2,1,Switzerland
1490,1,1,Switzerland
1540,7,7,Switzerland
1550,7,7,Switzerland
1560,7,7,Switzerland
1570,7,7,Switzerland
1580,1,1,Switzerland
1580,7,7,Switzerland
1590,7,7,Switzerland
1600,7,7,Switzerland
1610,7,7,Switzerland
1620,7,7,Switzerland
1680,1,0,Switzerland
1550,1,1,Switzerland
1560,1,1,Switzerland
1570,1,1,Switzerland
1580,1,1,Switzerland
1590,1,1,Switzerland
1600,4,4,Switzerland
1610,4,4,Switzerland
1620,4,4,Switzerland
1630,4,4,Switzerland
1640,4,4,Switzerland
1650,1,1,Switzerland
1660,1,1,Switzerland
1670,1,1,Switzerland
1680,1,1,Switzerland
1690,1,1,Switzerland
1590,1,0,Switzerland
1600,6,4,Switzerland
1610,6,4,Switzerland
1620,6,4,Switzerland
1630,6,4,Switzerland
1640,6,4,Switzerland
1650,6,3,Switzerland
1660,6,3,Switzerland
1670,6,3,Switzerland
1680,6,3,Switzerland
1690,6,3,Switzerland
1550,2,2,Switzerland
1560,2,2,Switzerland
1570,2,2,Switzerland
1580,2,2,Switzerland
1590,2,2,Switzerland
1600,11,8,Switzerland
1610,11,8,Switzerland
1620,11,8,Switzerland
1630,11,8,Switzerland
1640,11,8,Switzerland
1650,2,1,Switzerland
1660,2,1,Switzerland
1670,2,1,Switzerland
1680,2,1,Switzerland
1690,2,1,Switzerland
1400,2,0,Switzerland
1410,2,0,Switzerland
1420,2,0,Switzerland
1430,2,0,Switzerland
1440,2,0,Switzerland
1450,1,1,Switzerland
1460,1,1,Switzerland
1470,1,1,Switzerland
1480,1,1,Switzerland
1490,1,1,Switzerland
1500,2,1,Switzerland
1510,2,1,Switzerland
1520,2,1,Switzerland
1530,2,1,Switzerland
1540,2,1,Switzerland
1600,1,0,Switzerland
1610,1,0,Switzerland
1620,1,0,Switzerland
1630,1,0,Switzerland
1640,1,0,Switzerland
1650,1,0,Switzerland
